title,address,type,educational,workExperience,workTag,salary,salaryMonth,companyTags,hrWork,hrName,pratice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
Python,南京,python,本科,经验不限,"[""python爬虫"", ""Android"", ""Javascript""]","[6000, 11000]",0薪,无,人事主管,姬旭人事主管,0,magic机器人,"https://img.bosszhipin.com/beijin/upload/com/logo/20211117/7b5b554d84f9729c99ed505ef6b454faa9db31823e4351a815c994989ec4da8712e10a823e0f3254.png?x-oss-process=image/resize,w_100,limit_0",在线教育,未融资,"[20, 99]",https://www.zhipin.com/job_detail/1480c99d17437d560XRz0tq8ElA~.html?lid=9t4Jv9Uxl0z.search.38&securityId=ijx7QecpapX5c-G1QfYpo3Jy_GTIFz81dluNrfRR_rg9O0qScgbpn6kt7QTYPl43ZoeAJ5qRjx0MKYkZQidEUz-g9yq7tg-suDIKErkhkXUhoXHldtxeii3o3grwaCjNsxTFeFQfTw~~&sessionId=,https://www.zhipin.com/gongsi/920f4700ed41e4af1nZ-096_EA~~.html,江宁区
Python开发工程师,南京,python,本科,1年以内,"[""消息队列"", ""多进程"", ""Linux"", ""Windows"", ""分布式技术"", ""Redis""]","[5000, 10000]",0薪,无,招聘者,李泉招聘者,0,同袍信息科技,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/696c51e2b5970a731nZ_2Ni-ElJU.html?lid=9t4Jv9Uxl0z.search.39&securityId=nsyVNGNrnpjMr-Y1ClDTKxxgdMRxTp_Ey5wsJ86MHG-geKjpmCHgFQWCPzk191cFa3bPnm0G1H2dcTCEVWFDzicjW6XouRwnbV1voGwZsbsCsfTTBUvXcMQxfa1aTU3GiqYr6usxHtw~&sessionId=,https://www.zhipin.com/gongsi/e6ebd3b9629420041XFy29m_Fg~~.html,雨花台区
python开发工程师,南京,python,本科,1-3年,"[""Python"", ""计算机相关专业""]","[7000, 9000]",0薪,"""零食下午茶，五险一金，年终奖，节日福利，员工旅游，餐补，定期体检，补充医疗保险""",招聘主管,秦女士招聘主管,0,巨烽,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20201129/801641f0b28eed197707af1d7194168bb0eb882f0db0230b744e9128edf4a15e_s.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,天使轮,"[0, 20]",https://www.zhipin.com/job_detail/78644e8e9815f7501Xx72d21EVJZ.html?lid=9t4Jv9Uxl0z.search.40&securityId=jv33mRaXWRVkO-Q1zmmozSDjOEUtRr9BlGmr4TJANpB-GpRIcoZQgbaQYeGXhVzFkY8daAH0cELtLujiUgHr1RREQbDqbawsKRMck5MN-kcduvNR4FzTaNCwPGI1O-Kjyfw609paL2sq&sessionId=,https://www.zhipin.com/gongsi/ef5e6331e2a715141nZy2NW8EFM~.html,江宁区
Python,南京,python,本科,3个月,"[""图形图像处理"", ""Linux"", ""Windows"", ""网络爬虫技术"", ""算法基础""]","[150, 250]",0薪,无,经理,何云亚经理,1,拨云科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",计算机服务,未融资,"[0, 20]",https://www.zhipin.com/job_detail/eafcf3152e0bd54f1XZ43d-8EFBR.html?lid=9t4Jv9Uxl0z.search.41&securityId=OsUhxE7v7DDVv-k1tvbNj4KApqhoOhH5aNnBVdAeO2xEiYnYvSMahE6O-9qriqR6zkVtRXzh6GCUMDnKcbY75zK0QrO55m7Nx63sq172qg8WTtmvZkSxBmSwHql4tETf_MV9zUh6e_2Jjw~~&sessionId=,https://www.zhipin.com/gongsi/d888f548b32fda561XRy39m-FVc~.html,江宁区
Python 教师,佛山,python,大专,1年以内,"[""机器学习工程经验"", ""C/C++"", ""机器学习/算法工程""]","[5000, 8000]",0薪,"""五险一金，带薪年假，全勤奖，通讯补贴，生日福利，底薪加提成，保底工资，交通补助，有无线网，团建聚餐，员工旅游，节日福利""",招聘者,苏月蓉招聘者,0,爱义邦文化,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20190227/9112ab515cc43b26eaad2cb7cc0a1e84dc19acbfb911762b21c1f6c5585ff5e8.jpg?x-oss-process=image/resize,w_100,limit_0",培训机构,不需要融资,"[0, 20]",https://www.zhipin.com/job_detail/f891e2bad357c6b01Xd-3921EVJW.html?lid=9t4Jv9Uxl0z.search.42&securityId=4jipYmFetycxk-Z1EVTrpU5jUSls0fwyZ1SWVUaUa4AD4KccAUw7H0FePc4amFBYmUwT5NFV4fEqyz71w6I5tQvWJEk-TsHGmE5s0aQKPxOYm0kLohgHNOs8cIswHhPBLiWBZClyYJk~&sessionId=,https://www.zhipin.com/gongsi/17778913f65fb7561HJ_39m1Eg~~.html,禅城区
Python 开发工程师,南京,python,硕士,3个月,"[""Python"", ""Modbus/MQTT 数据采集"", ""PG/InfluxDB数据调优""]","[150, 200]",0薪,"""交通补助，带薪年假，节日福利，餐补，定期体检，五险一金，年终奖""",hr,吴女士hr,1,智慧用能低碳研究院,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",电力/热力/燃气/水利,未融资,"[20, 99]",https://www.zhipin.com/job_detail/77edef365adf9ff31XN40t-8EFFS.html?lid=9t4Jv9Uxl0z.search.43&securityId=Ck9PSwJXdQOw4-K1MK9Hb5cy21IIQupbSEEQrxO8JqHEs-CtpHxUSH5AGIzQhUR-NzEZ2V-s_fnj7CY4H4dpI62KJ9C060MgNWnjAN4kcQ2F0JvbNlrb4vOwHq2e7amf9WXRXOKFLPA~&sessionId=,https://www.zhipin.com/gongsi/a337f2c3f0a72f5a1XR829S-FFs~.html,江宁区
python,南京,python,本科,5-10年,"[""爬虫"", ""Python"", ""计算机相关专业""]","[6000, 11000]",0薪,无,人事经理,宣先生人事经理,0,百先科技,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/dee76b12bebb147c1XFy2dq7FlVQ.html?lid=9t4Jv9Uxl0z.search.44&securityId=MLPq36t9H1g15-m1plbPEx2jzKhIpfcgApLeI8LiY68l4YZ4in9Jfi9GDaEy9CLpCNtNiz4N_H5TIWy5ukW1qGoWG3iXm26td5hjFmwwBgzXOkpmK540xB3gZbwZGhh3FPxn1H5HHG_V&sessionId=,https://www.zhipin.com/gongsi/a47a140e6e97a2691nx-3du9GFo~.html,鼓楼区
python Java vue小程序安卓app软件开发兼职,南京,python,大专,经验不限,"[""Java"", ""Python"", ""MySQL"", ""计算机/软件工程相关经验""]","[11000, 12000]",0薪,无,招聘者,杨纯招聘者,0,南京万迅,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[0, 20]",https://www.zhipin.com/job_detail/447924478c339ac91XN43964EFFR.html?lid=9t4Jv9Uxl0z.search.45&securityId=GgRH3KqjGMQU6-j1MGrgkaw97IMiVyDNldj0F8AYJ340GF5M9ZQ5qeRs_WYqqWG4z7wWZFzt8ru8SM5g6ovKY8idz-QeqGoBDN1Hi6F_69ZzOxBRe4aY5xnsvqxdrxPKfCAnwfFm6cNweA~~&sessionId=,https://www.zhipin.com/gongsi/7254190a4e3568541XF809i6EVY~.html,建邺区
python后端工程师,南京,python,本科,经验不限,"[""后端"", ""Python""]","[6000, 11000]",0薪,"""五险一金，定期体检，全勤奖，年终奖""",HR,吴女士HR,0,聆韵,"https://img.bosszhipin.com/beijin/mcs/banner/20180310/0f2ef5140160425fd989d87ead17cc9d33d208e8d6fc287973c46e5cb5346f06.png?x-oss-process=image/resize,w_100,limit_0",仪器仪表/工业自动化,未融资,"[20, 99]",https://www.zhipin.com/job_detail/7b3126c20929cefc1XBy2t-6FVNR.html?lid=9t4Jv9Uxl0z.search.46&securityId=nUKMphLvC5H1r-D10twbazofrS1Gds5pWo-f8ir1znZPSCILGi0CyxGZBBNi1Cn_PRTbyI4ydC9Km7J_JHy2DF5G3gH3NjLSADDbXCY9bbAPgiRzCZf6o-mBdJp1HxyhlZckGs38LHPr&sessionId=,https://www.zhipin.com/gongsi/e59e81c99de25a3b1XR43t--GVo~.html,雨花台区
python,南京,python,本科,经验不限,"[""爬虫"", ""机器学习/算法工程"", ""数据开发"", ""Python""]","[11000, 19000]",0薪,"""免费班车，年终奖，零食下午茶，餐补，加班补助，员工旅游，定期体检，五险一金，节日福利，带薪年假""",招聘主管,王女士招聘主管,0,中软国际,"https://img.bosszhipin.com/beijin/mcs/banner/5ceba8561d592ff6849e8a0525aacbfecfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,已上市,"[0, 10000]",https://www.zhipin.com/job_detail/89c0b427f340b65f1HR439m0EVs~.html?lid=9t4Jv9Uxl0z.search.47&securityId=9wqKHztk9TbxF-Z1vg53KycIAxGgU04kkxuWb2l3affpvQlgiG1UUKi1meyA2Oe056g3yDbVCXaFVNyVx3laaK-1s8xfmdfWtJW_OTROLzotbjASOOpddBk4lotcubrn9HA~&sessionId=,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html,江宁区
